Date,Description,Category,Amount
2023-03-03,"Transaction 1937","Cable TV",-40.91
2022-02-04,"Transaction 1938","Auto Loan",-18.91
2022-04-13,"Transaction 1939",Daycare,-11.87
2022-01-06,"Transaction 1940","Auto Loan",-32.79
2023-11-30,"Transaction 1941",Groceries,-34.01
2022-09-22,"Transaction 1942","Cable TV",-37.02
2022-05-10,"Transaction 1943","Coffee Shops",-36.43
2023-07-11,"Transaction 1944","Coffee Shops",-29.79
2023-08-18,"Transaction 1945","Auto Loan",-20.23
2022-08-26,"Transaction 1946","Dental Care",-48.17
2023-02-16,"Transaction 1947","Coffee Shops",-31.30
2022-03-17,"Transaction 1948",Income,284.94
2023-09-30,"Transaction 1949","Cable TV",-44.76
2022-06-17,"Transaction 1950",Groceries,-25.01
2022-07-26,"Transaction 1951","Auto Loan",-41.67
2023-06-12,"Transaction 1952",Daycare,-28.02
2023-01-27,"Transaction 1953","Coffee Shops",-47.99
2022-02-22,"Transaction 1954","Coffee Shops",-26.87
2022-06-10,"Transaction 1955","Cable TV",-27.33
2022-10-26,"Transaction 1956","Auto Loan",-48.58
2022-08-03,"Transaction 1957",Daycare,-20.35
2022-08-10,"Transaction 1958","Cable TV",-29.61
2023-01-28,"Transaction 1959","Dental Care",-26.14
2023-08-04,"Transaction 1960","Cable TV",-15.21
2022-09-21,"Transaction 1961","Coffee Shops",-37.22
2023-07-01,"Transaction 1962",Income,310.99
2023-05-05,"Transaction 1963",Groceries,-29.85
2023-02-28,"Transaction 1964",Groceries,-49.98
2022-12-12,"Transaction 1965",Groceries,-37.23
2023-05-05,"Transaction 1966",Groceries,-49.54
2022-12-13,"Transaction 1967","Coffee Shops",-33.59
2022-04-21,"Transaction 1968",Entertainment,-41.74
2023-01-24,"Transaction 1969",Daycare,-13.70
2023-01-13,"Transaction 1970",Entertainment,-29.14
2022-06-02,"Transaction 1971","Cable TV",-21.01
2022-08-23,"Transaction 1972",Entertainment,-28.74
2023-02-22,"Transaction 1973",Daycare,-23.54
2023-06-03,"Transaction 1974","Auto Loan",-44.15
2022-10-22,"Transaction 1975","Cable TV",-25.49
2022-12-02,"Transaction 1976",Groceries,-45.50
2022-12-05,"Transaction 1977",Daycare,-23.76
2023-09-13,"Transaction 1978","Cable TV",-48.94
2023-11-04,"Transaction 1979",Entertainment,-49.19
2023-06-17,"Transaction 1980","Dental Care",-32.81
2023-04-02,"Transaction 1981","Auto Loan",-31.89
2022-10-07,"Transaction 1982","Dental Care",-41.60
2022-09-29,"Transaction 1983",Income,472.90
2022-03-05,"Transaction 1984","Auto Loan",-36.34
2022-12-17,"Transaction 1985","Auto Loan",-35.68
2022-09-29,"Transaction 1986",Daycare,-26.85
2023-08-17,"Transaction 1987","Dental Care",-42.63
2022-02-20,"Transaction 1988","Coffee Shops",-45.26
2022-06-21,"Transaction 1989","Auto Loan",-16.72
2024-02-10,"Transaction 1990",Daycare,-28.42
2022-11-03,"Transaction 1991",Income,450.50
2023-09-06,"Transaction 1992",Entertainment,-30.75
2023-03-10,"Transaction 1993",Entertainment,-48.43
2023-06-17,"Transaction 1994",Income,514.33
2022-08-20,"Transaction 1995",Daycare,-24.48
2022-08-04,"Transaction 1996",Income,494.95
2023-02-26,"Transaction 1997",Daycare,-44.09
2022-07-19,"Transaction 1998","Auto Loan",-43.03
2022-11-07,"Transaction 1999","Coffee Shops",-36.47
2023-12-28,"Transaction 2000",Income,399.78
2022-06-19,"Transaction 2001",Daycare,-18.53
2022-01-29,"Transaction 2002",Daycare,-49.62
2022-08-27,"Transaction 2003",Daycare,-23.30
2024-02-22,"Transaction 2004",Groceries,-21.97
2022-03-12,"Transaction 2005","Coffee Shops",-46.26
2024-02-26,"Transaction 2006","Auto Loan",-13.79
2023-07-31,"Transaction 2007","Auto Loan",-37.42
2023-05-01,"Transaction 2008","Cable TV",-37.34
2023-08-22,"Transaction 2009",Income,484.46
2023-02-28,"Transaction 2010","Coffee Shops",-18.70
2023-11-28,"Transaction 2011",Daycare,-26.25
2023-11-08,"Transaction 2012","Dental Care",-36.16
2022-08-12,"Transaction 2013",Income,232.12
2022-12-10,"Transaction 2014","Coffee Shops",-12.28
2023-12-08,"Transaction 2015","Auto Loan",-31.35
2022-08-29,"Transaction 2016","Coffee Shops",-46.12
2023-02-25,"Transaction 2017","Dental Care",-49.15
2024-02-17,"Transaction 2018","Dental Care",-38.68
2022-09-25,"Transaction 2019",Daycare,-29.08
2023-04-22,"Transaction 2020","Auto Loan",-43.78
2022-04-23,"Transaction 2021","Dental Care",-39.42
2023-03-24,"Transaction 2022",Daycare,-26.09
2022-04-12,"Transaction 2023",Income,685.78
2022-01-24,"Transaction 2024","Coffee Shops",-19.05
2023-06-08,"Transaction 2025","Auto Loan",-23.37
2024-02-11,"Transaction 2026","Coffee Shops",-42.58
2022-07-01,"Transaction 2027",Entertainment,-25.01
2023-06-14,"Transaction 2028",Daycare,-41.36
2023-01-08,"Transaction 2029","Coffee Shops",-41.03
2022-04-14,"Transaction 2030","Coffee Shops",-11.64
2023-11-04,"Transaction 2031",Entertainment,-27.55
2023-02-03,"Transaction 2032","Auto Loan",-34.54
2022-01-20,"Transaction 2033",Groceries,-43.79
2022-07-26,"Transaction 2034","Dental Care",-25.58
2023-07-25,"Transaction 2035","Dental Care",-49.26
2022-07-20,"Transaction 2036","Coffee Shops",-13.22
2023-02-18,"Transaction 2037",Entertainment,-35.16
2022-10-18,"Transaction 2038",Entertainment,-25.27
2022-03-04,"Transaction 2039",Groceries,-35.64
2023-11-16,"Transaction 2040",Income,575.81
2022-09-24,"Transaction 2041",Daycare,-34.43
2023-09-06,"Transaction 2042",Groceries,-33.30
2022-12-28,"Transaction 2043",Daycare,-20.10
2023-11-30,"Transaction 2044",Groceries,-14.52
2022-12-30,"Transaction 2045","Dental Care",-46.12
2023-09-26,"Transaction 2046","Cable TV",-21.44
2024-02-23,"Transaction 2047","Coffee Shops",-15.88
2023-08-28,"Transaction 2048",Entertainment,-44.49
2024-02-11,"Transaction 2049","Dental Care",-32.21
2022-12-21,"Transaction 2050","Dental Care",-40.56
2023-07-29,"Transaction 2051","Dental Care",-16.23
2023-01-04,"Transaction 2052",Entertainment,-19.17
2023-03-09,"Transaction 2053",Groceries,-11.53
2022-11-08,"Transaction 2054","Auto Loan",-27.32
2022-10-13,"Transaction 2055","Dental Care",-44.93
2022-07-25,"Transaction 2056",Entertainment,-38.34
2023-10-18,"Transaction 2057","Auto Loan",-20.33
2022-03-03,"Transaction 2058","Dental Care",-24.24
2023-01-26,"Transaction 2059",Daycare,-11.95
2023-01-31,"Transaction 2060",Income,403.21
2023-08-29,"Transaction 2061","Auto Loan",-16.62
2023-08-10,"Transaction 2062",Entertainment,-15.48
2024-02-24,"Transaction 2063",Groceries,-42.58
2022-08-12,"Transaction 2064",Entertainment,-15.63
2022-09-20,"Transaction 2065",Groceries,-39.38
2023-05-16,"Transaction 2066",Groceries,-18.60
2022-05-30,"Transaction 2067",Groceries,-32.72
2023-11-25,"Transaction 2068",Groceries,-32.21
2023-04-07,"Transaction 2069",Entertainment,-41.52
2022-12-08,"Transaction 2070","Auto Loan",-47.96
2022-06-26,"Transaction 2071",Groceries,-38.15
2022-03-14,"Transaction 2072","Dental Care",-45.94
2024-01-18,"Transaction 2073",Groceries,-49.81
2024-01-03,"Transaction 2074","Coffee Shops",-24.71
2023-08-11,"Transaction 2075","Coffee Shops",-47.94
2022-03-20,"Transaction 2076","Dental Care",-18.24
2022-01-17,"Transaction 2077",Income,270.80
2023-12-04,"Transaction 2078","Auto Loan",-21.25
2022-10-22,"Transaction 2079","Cable TV",-19.96
2022-06-27,"Transaction 2080",Daycare,-12.95
2023-06-28,"Transaction 2081","Dental Care",-43.99
2023-08-24,"Transaction 2082",Entertainment,-10.05
2023-12-11,"Transaction 2083","Auto Loan",-11.99
2022-03-11,"Transaction 2084",Daycare,-11.05
2023-08-29,"Transaction 2085","Dental Care",-30.73
2023-03-19,"Transaction 2086",Daycare,-19.13
2022-10-27,"Transaction 2087",Entertainment,-32.53
2023-07-09,"Transaction 2088","Dental Care",-31.74
2022-10-25,"Transaction 2089",Groceries,-45.64
2022-11-02,"Transaction 2090","Dental Care",-34.83
2024-02-16,"Transaction 2091","Auto Loan",-33.03
2022-04-23,"Transaction 2092","Dental Care",-23.06
2023-08-18,"Transaction 2093","Auto Loan",-29.55
2023-03-30,"Transaction 2094","Cable TV",-23.15
2022-12-03,"Transaction 2095","Auto Loan",-35.18
2023-12-17,"Transaction 2096","Cable TV",-20.20
2022-04-29,"Transaction 2097",Groceries,-11.95
2023-05-28,"Transaction 2098",Entertainment,-30.60
2022-07-10,"Transaction 2099",Income,830.44
2022-08-10,"Transaction 2100","Coffee Shops",-35.07
2022-09-05,"Transaction 2101",Entertainment,-42.05
2022-09-12,"Transaction 2102",Daycare,-48.42
2024-01-29,"Transaction 2103","Coffee Shops",-19.88
2022-09-23,"Transaction 2104",Daycare,-19.75
2023-09-27,"Transaction 2105",Income,661.22
2022-01-20,"Transaction 2106",Income,766.12
2023-09-25,"Transaction 2107","Cable TV",-32.33
2023-12-22,"Transaction 2108","Dental Care",-40.15
2024-01-18,"Transaction 2109",Daycare,-24.28
2022-11-12,"Transaction 2110","Dental Care",-24.02
2022-02-20,"Transaction 2111",Groceries,-41.11
2022-04-21,"Transaction 2112",Groceries,-32.47
2022-06-01,"Transaction 2113","Dental Care",-21.23
2022-03-27,"Transaction 2114","Coffee Shops",-32.24
2022-11-01,"Transaction 2115","Cable TV",-11.36
2022-01-11,"Transaction 2116","Auto Loan",-17.18
2023-11-28,"Transaction 2117","Coffee Shops",-31.52
2023-01-25,"Transaction 2118","Coffee Shops",-33.23
2023-10-25,"Transaction 2119",Entertainment,-34.50
2022-01-18,"Transaction 2120","Auto Loan",-44.07
2022-02-28,"Transaction 2121","Dental Care",-31.93
2023-12-14,"Transaction 2122","Dental Care",-26.88
2022-10-04,"Transaction 2123",Groceries,-46.51
2022-07-11,"Transaction 2124","Coffee Shops",-14.27
2023-08-31,"Transaction 2125",Entertainment,-18.97
2022-06-18,"Transaction 2126",Daycare,-21.69
2023-12-14,"Transaction 2127","Auto Loan",-37.45
2023-12-23,"Transaction 2128","Auto Loan",-21.52
2022-02-09,"Transaction 2129","Dental Care",-45.65
2022-10-25,"Transaction 2130",Daycare,-32.79
2023-03-12,"Transaction 2131","Auto Loan",-28.71
2023-03-24,"Transaction 2132",Income,487.48
2023-09-15,"Transaction 2133","Coffee Shops",-42.93
2023-04-27,"Transaction 2134",Daycare,-11.01
2023-03-07,"Transaction 2135",Daycare,-29.98
2024-02-02,"Transaction 2136",Daycare,-11.34
2022-02-07,"Transaction 2137",Daycare,-44.46
2022-07-27,"Transaction 2138",Daycare,-26.02
2023-04-16,"Transaction 2139","Dental Care",-38.15
2022-08-28,"Transaction 2140",Income,790.71
2022-09-21,"Transaction 2141",Groceries,-13.23
2022-03-03,"Transaction 2142","Dental Care",-37.73
2023-02-13,"Transaction 2143",Entertainment,-20.51
2023-10-13,"Transaction 2144",Income,477.71
2024-01-07,"Transaction 2145","Coffee Shops",-48.46
2022-04-30,"Transaction 2146",Groceries,-37.40
2023-03-27,"Transaction 2147","Cable TV",-28.34
2023-10-20,"Transaction 2148",Income,679.93
2024-02-23,"Transaction 2149","Auto Loan",-19.80
2022-05-20,"Transaction 2150",Daycare,-25.66
2024-02-20,"Transaction 2151",Income,314.16
2023-11-24,"Transaction 2152",Daycare,-21.42
2022-02-05,"Transaction 2153","Auto Loan",-49.87
2022-12-09,"Transaction 2154","Cable TV",-44.33
2022-03-08,"Transaction 2155","Auto Loan",-29.60
2023-08-27,"Transaction 2156","Dental Care",-13.10
2023-03-11,"Transaction 2157",Entertainment,-42.33
2022-09-27,"Transaction 2158","Dental Care",-36.08
2023-11-30,"Transaction 2159","Coffee Shops",-12.01
2022-07-07,"Transaction 2160",Groceries,-37.21
2022-02-18,"Transaction 2161",Income,582.78
2023-11-18,"Transaction 2162","Cable TV",-42.77
2022-02-01,"Transaction 2163",Daycare,-44.80
2023-01-18,"Transaction 2164","Dental Care",-25.60
2023-06-09,"Transaction 2165",Entertainment,-33.79
2022-05-29,"Transaction 2166","Cable TV",-20.29
2023-10-19,"Transaction 2167","Coffee Shops",-15.07
2023-04-30,"Transaction 2168",Daycare,-15.93
2022-02-07,"Transaction 2169","Cable TV",-10.16
2022-05-19,"Transaction 2170","Auto Loan",-23.97
2023-01-21,"Transaction 2171","Cable TV",-39.03
2023-06-12,"Transaction 2172","Auto Loan",-27.07
2022-08-05,"Transaction 2173","Dental Care",-16.79
2023-05-27,"Transaction 2174","Dental Care",-46.80
2022-07-13,"Transaction 2175","Auto Loan",-17.09
2023-05-11,"Transaction 2176","Coffee Shops",-27.85
2022-12-26,"Transaction 2177",Entertainment,-28.85
2022-10-22,"Transaction 2178","Coffee Shops",-25.37
2022-01-14,"Transaction 2179",Groceries,-36.20
2022-12-28,"Transaction 2180",Daycare,-29.93
2022-11-22,"Transaction 2181",Daycare,-18.39
2022-09-22,"Transaction 2182","Coffee Shops",-24.75
2023-11-23,"Transaction 2183","Coffee Shops",-47.34
2022-02-21,"Transaction 2184","Coffee Shops",-43.69
2022-05-31,"Transaction 2185","Coffee Shops",-10.04
2023-01-05,"Transaction 2186","Auto Loan",-46.09
2024-02-25,"Transaction 2187","Coffee Shops",-20.89
2023-01-03,"Transaction 2188","Dental Care",-25.15
2023-12-09,"Transaction 2189",Groceries,-10.21
2023-09-10,"Transaction 2190","Dental Care",-16.71
2023-12-01,"Transaction 2191","Coffee Shops",-43.62
2022-04-10,"Transaction 2192","Auto Loan",-16.62
2024-02-22,"Transaction 2193",Income,887.31
2022-08-07,"Transaction 2194","Cable TV",-12.47
2023-01-15,"Transaction 2195",Groceries,-35.76
2023-09-11,"Transaction 2196",Groceries,-30.59
2024-02-13,"Transaction 2197","Auto Loan",-29.57
2023-04-05,"Transaction 2198",Income,436.61
2022-06-30,"Transaction 2199",Entertainment,-36.21
2023-11-17,"Transaction 2200","Cable TV",-30.80
2023-05-29,"Transaction 2201","Auto Loan",-34.59
2022-10-15,"Transaction 2202","Dental Care",-29.99
2022-03-25,"Transaction 2203","Cable TV",-20.17
2022-11-21,"Transaction 2204","Auto Loan",-38.31
2024-02-13,"Transaction 2205","Coffee Shops",-44.88
2023-01-18,"Transaction 2206",Groceries,-24.47
2022-02-25,"Transaction 2207",Entertainment,-46.64
2023-04-07,"Transaction 2208","Coffee Shops",-20.02
2023-06-22,"Transaction 2209",Income,299.49
2022-03-18,"Transaction 2210","Cable TV",-47.73
2022-12-27,"Transaction 2211","Dental Care",-14.15
2022-09-06,"Transaction 2212",Entertainment,-13.31
2022-10-25,"Transaction 2213",Daycare,-27.96
2024-02-19,"Transaction 2214","Auto Loan",-32.80
2022-02-20,"Transaction 2215","Auto Loan",-44.22
2022-10-22,"Transaction 2216","Dental Care",-48.27
2022-06-08,"Transaction 2217","Coffee Shops",-18.71
2023-12-23,"Transaction 2218","Coffee Shops",-24.40
2023-04-02,"Transaction 2219",Daycare,-11.62
2023-04-04,"Transaction 2220","Dental Care",-35.28
2023-05-27,"Transaction 2221",Entertainment,-29.35
2022-02-19,"Transaction 2222","Cable TV",-47.16
2023-09-07,"Transaction 2223",Groceries,-28.74
2023-12-07,"Transaction 2224","Dental Care",-21.95
2024-01-28,"Transaction 2225",Income,447.99
2023-07-08,"Transaction 2226",Income,539.87
2022-08-12,"Transaction 2227",Groceries,-32.89
2023-04-26,"Transaction 2228","Coffee Shops",-23.71
2023-12-15,"Transaction 2229","Coffee Shops",-35.22
2022-07-06,"Transaction 2230","Auto Loan",-42.08
2022-09-23,"Transaction 2231","Dental Care",-43.56
2023-03-05,"Transaction 2232","Dental Care",-37.45
2023-05-12,"Transaction 2233","Dental Care",-29.84
2022-09-25,"Transaction 2234","Dental Care",-45.01
2023-01-04,"Transaction 2235","Dental Care",-11.42
2022-06-19,"Transaction 2236",Entertainment,-47.61
2023-06-18,"Transaction 2237","Cable TV",-32.48
2023-01-18,"Transaction 2238",Groceries,-16.37
2022-01-03,"Transaction 2239",Income,851.53
2023-10-24,"Transaction 2240",Daycare,-41.01
2022-06-17,"Transaction 2241","Dental Care",-34.76
2022-08-12,"Transaction 2242",Entertainment,-17.73
2022-09-15,"Transaction 2243",Income,297.33
2022-03-28,"Transaction 2244",Entertainment,-23.32
2022-04-23,"Transaction 2245",Income,787.49
2022-04-03,"Transaction 2246",Daycare,-16.58
2023-02-03,"Transaction 2247",Entertainment,-27.50
2023-02-22,"Transaction 2248",Groceries,-15.82
2022-09-20,"Transaction 2249",Groceries,-37.59
2024-02-06,"Transaction 2250",Groceries,-42.06
2023-03-25,"Transaction 2251","Dental Care",-12.11
2023-09-01,"Transaction 2252","Coffee Shops",-12.09
2022-01-16,"Transaction 2253","Coffee Shops",-29.46
2023-06-14,"Transaction 2254",Entertainment,-25.62
2022-12-31,"Transaction 2255",Entertainment,-32.46
2022-12-10,"Transaction 2256",Entertainment,-12.64
2022-09-19,"Transaction 2257","Coffee Shops",-37.87
2023-12-10,"Transaction 2258",Entertainment,-41.94
2023-10-25,"Transaction 2259",Groceries,-29.39
2022-07-12,"Transaction 2260","Auto Loan",-38.39
2022-01-13,"Transaction 2261",Groceries,-25.67
2023-10-30,"Transaction 2262","Cable TV",-23.90
2022-09-10,"Transaction 2263","Cable TV",-10.09
2022-09-30,"Transaction 2264","Coffee Shops",-42.21
2022-10-05,"Transaction 2265","Coffee Shops",-27.40
2022-07-18,"Transaction 2266",Daycare,-14.44
2024-02-06,"Transaction 2267","Cable TV",-27.14
2022-01-25,"Transaction 2268",Groceries,-27.88
2022-12-07,"Transaction 2269",Groceries,-42.98
2022-06-05,"Transaction 2270","Coffee Shops",-29.00
2022-08-21,"Transaction 2271",Income,742.91
2023-10-06,"Transaction 2272","Coffee Shops",-41.77
2023-03-01,"Transaction 2273",Income,919.75
2023-05-25,"Transaction 2274","Cable TV",-30.65
2023-03-31,"Transaction 2275",Income,859.50
2023-10-16,"Transaction 2276",Groceries,-13.36
2022-08-07,"Transaction 2277",Entertainment,-17.77
2023-11-02,"Transaction 2278","Dental Care",-40.38
2022-06-22,"Transaction 2279","Auto Loan",-13.67
2022-01-26,"Transaction 2280",Groceries,-45.25
2023-11-14,"Transaction 2281","Auto Loan",-42.86
2022-10-15,"Transaction 2282","Dental Care",-12.07
2022-03-18,"Transaction 2283",Income,221.35
2023-08-16,"Transaction 2284",Income,616.73
2023-01-19,"Transaction 2285","Coffee Shops",-36.98
2023-01-06,"Transaction 2286",Daycare,-17.52
2023-12-27,"Transaction 2287","Auto Loan",-38.61
2023-01-13,"Transaction 2288",Entertainment,-17.05
2023-03-05,"Transaction 2289",Entertainment,-42.34
2022-08-01,"Transaction 2290","Coffee Shops",-18.26
2023-12-12,"Transaction 2291",Income,676.09
2023-07-28,"Transaction 2292","Auto Loan",-29.56
2022-12-17,"Transaction 2293","Coffee Shops",-19.15
2023-06-21,"Transaction 2294","Cable TV",-20.13
2022-07-08,"Transaction 2295",Groceries,-47.16
2023-04-27,"Transaction 2296",Daycare,-13.98
2023-03-14,"Transaction 2297",Groceries,-16.48
2022-02-18,"Transaction 2298","Dental Care",-34.53
2023-01-22,"Transaction 2299",Groceries,-43.81
2022-09-12,"Transaction 2300","Auto Loan",-19.76
2024-02-26,"Transaction 2301",Groceries,-37.49
2022-12-13,"Transaction 2302",Entertainment,-26.48
2022-02-25,"Transaction 2303","Auto Loan",-35.79
2023-11-19,"Transaction 2304","Coffee Shops",-43.14
2023-07-07,"Transaction 2305",Daycare,-46.72
2022-02-13,"Transaction 2306",Entertainment,-46.93
2023-02-19,"Transaction 2307",Groceries,-29.51
2022-10-30,"Transaction 2308","Auto Loan",-10.73
2022-02-04,"Transaction 2309",Income,264.21
2023-07-15,"Transaction 2310",Income,409.32
2022-02-22,"Transaction 2311","Dental Care",-26.87
2022-03-22,"Transaction 2312","Auto Loan",-43.68
2022-02-14,"Transaction 2313","Dental Care",-19.46
2024-01-31,"Transaction 2314",Income,901.61
2022-10-13,"Transaction 2315",Entertainment,-48.91
2023-07-24,"Transaction 2316",Income,322.11
2022-12-31,"Transaction 2317","Coffee Shops",-16.19
2023-12-03,"Transaction 2318","Coffee Shops",-19.97
2022-02-22,"Transaction 2319","Cable TV",-14.94
2022-06-05,"Transaction 2320",Entertainment,-12.99
2023-02-10,"Transaction 2321","Cable TV",-46.16
2023-07-17,"Transaction 2322","Coffee Shops",-23.36
2023-08-28,"Transaction 2323",Daycare,-30.74
2022-12-10,"Transaction 2324",Daycare,-25.88
2022-10-03,"Transaction 2325","Dental Care",-34.63
2022-08-05,"Transaction 2326",Entertainment,-25.23
2023-07-30,"Transaction 2327",Income,678.85
2022-01-09,"Transaction 2328","Cable TV",-21.29
2023-02-03,"Transaction 2329",Income,983.86
2023-10-25,"Transaction 2330","Dental Care",-29.09
2023-10-13,"Transaction 2331","Coffee Shops",-19.16
2023-10-02,"Transaction 2332","Auto Loan",-15.49
2023-05-15,"Transaction 2333","Dental Care",-47.47
2022-11-23,"Transaction 2334",Income,721.64
2022-07-15,"Transaction 2335","Auto Loan",-21.56
2022-12-24,"Transaction 2336","Cable TV",-44.72
2023-04-18,"Transaction 2337",Groceries,-16.34
2023-01-02,"Transaction 2338",Income,811.23
2024-01-09,"Transaction 2339","Auto Loan",-21.18
2023-03-07,"Transaction 2340","Auto Loan",-23.41
2023-01-04,"Transaction 2341",Entertainment,-20.06
2022-01-04,"Transaction 2342",Groceries,-38.84
2023-08-17,"Transaction 2343","Auto Loan",-38.21
2023-12-06,"Transaction 2344",Income,714.45
2023-05-21,"Transaction 2345",Groceries,-45.91
2023-12-02,"Transaction 2346","Cable TV",-11.32
2022-06-12,"Transaction 2347","Cable TV",-48.28
2022-07-18,"Transaction 2348","Dental Care",-36.54
2022-08-06,"Transaction 2349","Auto Loan",-27.72
2022-04-29,"Transaction 2350","Cable TV",-10.39
2023-02-02,"Transaction 2351",Entertainment,-42.12
2024-01-02,"Transaction 2352","Dental Care",-34.39
2022-08-02,"Transaction 2353","Cable TV",-21.97
2022-06-15,"Transaction 2354","Dental Care",-29.42
2023-11-28,"Transaction 2355","Dental Care",-46.46
2022-12-28,"Transaction 2356",Entertainment,-27.59
2022-02-01,"Transaction 2357",Entertainment,-31.23
2022-01-01,"Transaction 2358",Daycare,-48.82
2022-09-18,"Transaction 2359","Coffee Shops",-33.10
2022-05-09,"Transaction 2360",Daycare,-39.48
2023-06-27,"Transaction 2361",Income,701.33
2022-03-08,"Transaction 2362",Daycare,-29.01
2023-06-11,"Transaction 2363",Entertainment,-18.64
2023-11-26,"Transaction 2364",Income,817.36
2023-07-04,"Transaction 2365",Groceries,-19.16
2023-12-07,"Transaction 2366","Dental Care",-41.19
2023-06-05,"Transaction 2367",Groceries,-30.23
2023-09-05,"Transaction 2368","Cable TV",-41.71
2022-01-12,"Transaction 2369",Entertainment,-31.21
2022-07-22,"Transaction 2370",Income,598.63
2022-04-16,"Transaction 2371",Income,623.66
2022-06-11,"Transaction 2372","Auto Loan",-34.07
2023-01-20,"Transaction 2373",Entertainment,-11.22
2023-11-21,"Transaction 2374","Coffee Shops",-40.86
2022-03-05,"Transaction 2375","Cable TV",-14.04
2024-01-29,"Transaction 2376","Cable TV",-13.12
2023-09-04,"Transaction 2377",Income,896.48
2022-04-04,"Transaction 2378",Entertainment,-29.20
2022-11-23,"Transaction 2379",Groceries,-38.32
2022-08-25,"Transaction 2380","Auto Loan",-49.17
2023-02-16,"Transaction 2381",Groceries,-31.34
2022-12-05,"Transaction 2382",Daycare,-13.17
2022-05-13,"Transaction 2383","Coffee Shops",-11.37
2022-04-22,"Transaction 2384",Entertainment,-31.17
2022-06-23,"Transaction 2385","Auto Loan",-31.91
2022-05-25,"Transaction 2386",Groceries,-38.39
2023-01-13,"Transaction 2387",Income,853.02
2023-06-08,"Transaction 2388","Auto Loan",-26.63
2023-11-16,"Transaction 2389",Income,878.88
2023-03-18,"Transaction 2390",Entertainment,-31.32
2022-08-03,"Transaction 2391","Auto Loan",-49.53
2022-04-15,"Transaction 2392",Groceries,-49.62
2023-05-15,"Transaction 2393","Coffee Shops",-33.99
2022-05-26,"Transaction 2394","Dental Care",-29.86
2022-05-14,"Transaction 2395","Dental Care",-46.91
2023-09-15,"Transaction 2396","Coffee Shops",-25.48
2023-10-24,"Transaction 2397",Entertainment,-10.57
2023-08-11,"Transaction 2398","Dental Care",-49.66
2022-03-13,"Transaction 2399","Coffee Shops",-38.12
2022-01-23,"Transaction 2400","Auto Loan",-26.58
2022-11-22,"Transaction 2401","Cable TV",-33.14
2022-08-24,"Transaction 2402","Auto Loan",-11.70
2022-10-01,"Transaction 2403","Coffee Shops",-12.09
2024-02-13,"Transaction 2404",Groceries,-35.45
2022-10-20,"Transaction 2405",Groceries,-12.13
2022-02-08,"Transaction 2406",Entertainment,-31.74
2022-12-25,"Transaction 2407","Coffee Shops",-37.69
2023-01-18,"Transaction 2408",Daycare,-11.34
2023-10-17,"Transaction 2409",Daycare,-23.84
2022-04-27,"Transaction 2410",Income,609.25
2023-01-06,"Transaction 2411","Coffee Shops",-28.93
2023-02-10,"Transaction 2412","Cable TV",-20.57
2022-09-18,"Transaction 2413",Daycare,-20.87
2023-01-05,"Transaction 2414","Auto Loan",-44.71
2022-02-18,"Transaction 2415","Dental Care",-11.79
2022-07-03,"Transaction 2416","Cable TV",-29.06
2023-04-30,"Transaction 2417","Auto Loan",-43.50
2023-11-24,"Transaction 2418",Daycare,-22.20
2022-12-01,"Transaction 2419",Entertainment,-43.44
2022-08-28,"Transaction 2420","Coffee Shops",-41.03
2023-06-24,"Transaction 2421",Daycare,-13.51
2022-12-04,"Transaction 2422","Auto Loan",-23.44
2023-03-17,"Transaction 2423",Groceries,-30.84
2023-07-15,"Transaction 2424","Cable TV",-32.53
2023-03-28,"Transaction 2425","Dental Care",-24.14
2023-07-13,"Transaction 2426",Daycare,-42.31
2022-03-12,"Transaction 2427",Entertainment,-12.22
2022-09-08,"Transaction 2428",Entertainment,-32.93
2023-05-09,"Transaction 2429","Auto Loan",-21.95
2022-12-01,"Transaction 2430","Dental Care",-45.40
2023-08-12,"Transaction 2431",Daycare,-13.91
2023-05-04,"Transaction 2432","Dental Care",-36.49
2022-02-27,"Transaction 2433","Cable TV",-23.31
2023-09-17,"Transaction 2434",Income,902.00
2023-05-03,"Transaction 2435",Entertainment,-24.24
2024-02-19,"Transaction 2436",Entertainment,-30.59
2023-04-21,"Transaction 2437",Income,627.76
2022-07-09,"Transaction 2438",Income,208.14
2023-07-20,"Transaction 2439",Groceries,-46.75
2022-07-11,"Transaction 2440","Auto Loan",-36.05
2023-11-23,"Transaction 2441",Income,811.10
2022-09-03,"Transaction 2442",Groceries,-20.92
2022-05-14,"Transaction 2443","Dental Care",-33.10
2022-02-18,"Transaction 2444","Dental Care",-13.49
2022-09-07,"Transaction 2445","Cable TV",-33.63
2022-01-21,"Transaction 2446","Auto Loan",-29.04
2022-01-25,"Transaction 2447",Income,530.78
2023-05-01,"Transaction 2448",Daycare,-45.85
2023-01-15,"Transaction 2449","Coffee Shops",-33.79
2023-01-20,"Transaction 2450","Coffee Shops",-43.13
2023-05-25,"Transaction 2451",Entertainment,-20.05
2024-01-18,"Transaction 2452","Dental Care",-15.77
2023-06-22,"Transaction 2453",Daycare,-16.49
2022-03-28,"Transaction 2454",Daycare,-40.35
2023-03-12,"Transaction 2455",Daycare,-21.83
2022-06-20,"Transaction 2456","Coffee Shops",-35.80
2023-07-16,"Transaction 2457",Groceries,-11.09
2022-10-09,"Transaction 2458","Dental Care",-39.27
2023-05-01,"Transaction 2459",Groceries,-32.96
